Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Frequency Score,Subscription Score,Previous Purchases_N,Frequency Score_N,Review Rating_N,Loyalty Score V1,Loyalty Band,Promo Dependency Score,Promo Dependency Level,Customer Value Score,Value Tier,Customer Segment
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,5.0,1,0.32653061224489793,1.0,0.8399999999999999,0.6986122448979593,Very High,1,High,816,Silver,Bargain Hunter
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,,1,0.9183673469387754,,0.32000000000000006,,,1,High,4140,Platinum,VIP Loyalist
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,,1,1.0,,0.11999999999999988,,,1,High,2550,Platinum,VIP Loyalist
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,2.0,1,0.4285714285714285,0.25,0.6399999999999999,0.39942857142857136,Medium,1,High,1364,Gold,Bargain Hunter
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1.0,1,0.6326530612244897,0.0,0.28000000000000025,0.30906122448979595,Low,1,High,1184,Silver,Bargain Hunter
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,5.0,1,0.7959183673469387,1.0,0.7600000000000002,0.8703673469387755,Very High,1,High,3520,Platinum,VIP Loyalist
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,5.0,1,0.3061224489795918,1.0,0.15999999999999992,0.5544489795918368,High,1,High,352,Bronze,Bargain Hunter
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,1.0,1,0.26530612244897955,0.0,0.44000000000000017,0.19412244897959186,Low,1,High,350,Bronze,Bargain Hunter
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1.0,1,0.24489795918367344,0.0,0.44000000000000017,0.18595918367346942,Low,1,High,260,Bronze,Bargain Hunter
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,,1,0.12244897959183673,,1.0,,,1,High,392,Bronze,Bargain Hunter
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,,1,0.8163265306122448,,0.7600000000000002,,,1,High,3854,Platinum,VIP Loyalist
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,5.0,1,0.26530612244897955,1.0,0.6399999999999999,0.6341224489795919,High,1,High,672,Silver,Bargain Hunter
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,3.0,1,0.3061224489795918,0.5,0.8800000000000001,0.49844897959183676,Medium,1,High,496,Bronze,Bargain Hunter
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,3.0,1,0.8979591836734693,0.5,0.8800000000000001,0.7351836734693878,Very High,1,High,3555,Platinum,VIP Loyalist
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,1.0,1,0.7346938775510203,0.0,0.9600000000000002,0.4858775510204082,Medium,1,High,2479,Platinum,VIP Loyalist
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2.0,1,0.8979591836734693,0.25,0.32000000000000006,0.5231836734693878,High,1,High,1710,Gold,Bargain Hunter
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,2.0,1,0.7551020408163265,0.25,0.8399999999999999,0.5700408163265307,High,1,High,3458,Platinum,VIP Loyalist
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,,1,0.9591836734693877,,0.6000000000000001,,,1,High,1584,Gold,Bargain Hunter
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,4.0,1,0.8775510204081631,0.75,0.8399999999999999,0.8190204081632653,Very High,1,High,3036,Platinum,VIP Loyalist
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,5.0,1,0.18367346938775508,1.0,0.11999999999999988,0.497469387755102,Medium,1,High,450,Bronze,Bargain Hunter
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,,1,0.8775510204081631,,0.52,,,1,High,1628,Gold,Bargain Hunter
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,3.0,1,0.346938775510204,0.5,0.6800000000000002,0.4747755102040816,Medium,1,High,1080,Silver,Bargain Hunter
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2.0,1,0.6122448979591836,0.25,0.8399999999999999,0.5128979591836734,High,1,High,2356,Platinum,VIP Loyalist
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,1.0,1,0.7959183673469387,0.0,0.8,0.47836734693877553,Medium,1,High,1560,Gold,Bargain Hunter
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,1.0,1,0.28571428571428564,0.0,0.6399999999999999,0.24228571428571424,Low,1,High,1500,Gold,Bargain Hunter
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,4.0,1,0.36734693877551017,0.75,0.4800000000000002,0.5429387755102042,High,1,High,1311,Gold,Bargain Hunter
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,5.0,1,0.8979591836734693,1.0,0.8399999999999999,0.9271836734693877,Very High,1,High,2385,Platinum,VIP Loyalist
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1.0,1,0.4897959183673469,0.0,0.15999999999999992,0.22791836734693877,Low,1,High,525,Bronze,Bargain Hunter
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2.0,1,0.8979591836734693,0.25,0.15999999999999992,0.4911836734693877,Medium,1,High,1935,Gold,Bargain Hunter
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,5.0,1,0.7142857142857142,1.0,0.8,0.8457142857142858,Very High,1,High,1944,Gold,Bargain Hunter
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,3.0,1,0.7551020408163265,0.5,0.08000000000000007,0.5180408163265307,High,1,High,2090,Gold,Bargain Hunter
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,,1,0.673469387755102,,0.8399999999999999,,,1,High,1020,Silver,Bargain Hunter
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,,1,0.7755102040816325,,0.52,,,1,High,1092,Silver,Bargain Hunter
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,2.0,1,0.12244897959183673,0.25,0.8800000000000001,0.32497959183673475,Low,1,High,413,Bronze,Bargain Hunter
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,5.0,1,0.510204081632653,1.0,0.040000000000000036,0.6120816326530613,High,1,High,520,Bronze,Bargain Hunter
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,5.0,1,0.693877551020408,1.0,0.56,0.7895510204081632,Very High,1,High,840,Silver,Bargain Hunter
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,,1,0.693877551020408,,0.6800000000000002,,,1,High,3290,Platinum,VIP Loyalist
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1.0,1,0.9795918367346937,0.0,0.20000000000000018,0.43183673469387757,Medium,1,High,1372,Gold,Bargain Hunter
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,5.0,1,0.9183673469387754,1.0,0.8800000000000001,0.9433469387755102,Very High,1,High,3358,Platinum,VIP Loyalist
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,4.0,1,0.32653061224489793,0.75,0.7600000000000002,0.5826122448979593,High,1,High,1088,Silver,Bargain Hunter
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,3.0,1,0.5714285714285714,0.5,0.6800000000000002,0.5645714285714286,High,1,High,1566,Gold,Bargain Hunter
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,5.0,1,0.061224489795918366,1.0,0.8399999999999999,0.5924897959183674,High,1,High,316,Bronze,Bargain Hunter
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,5.0,1,0.32653061224489793,1.0,0.6000000000000001,0.6506122448979592,Very High,1,High,629,Silver,Bargain Hunter
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,,1,0.4081632653061224,,0.8800000000000001,,,1,High,1428,Gold,Bargain Hunter
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,4.0,1,0.6122448979591836,0.75,0.52,0.6488979591836734,Very High,1,High,651,Silver,Bargain Hunter
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,5.0,1,0.8571428571428571,1.0,0.08000000000000007,0.7588571428571429,Very High,1,High,3397,Platinum,VIP Loyalist
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,4.0,1,0.346938775510204,0.75,0.9199999999999999,0.6227755102040817,High,1,High,1494,Gold,Bargain Hunter
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,,1,0.8775510204081631,,0.9199999999999999,,,1,High,1584,Gold,Bargain Hunter
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,,1,0.04081632653061225,,0.8800000000000001,,,1,High,282,Bronze,Bargain Hunter
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,3.0,1,0.9795918367346937,0.5,0.7600000000000002,0.7438367346938776,Very High,1,High,1617,Gold,Bargain Hunter
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,,1,0.4081632653061224,,0.56,,,1,High,966,Silver,Bargain Hunter
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,5.0,1,0.08163265306122448,1.0,0.7600000000000002,0.5846530612244899,High,1,High,350,Bronze,Bargain Hunter
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,,1,0.6326530612244897,,0.6800000000000002,,,1,High,928,Silver,Bargain Hunter
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,1.0,1,0.673469387755102,0.0,0.15999999999999992,0.3013877551020408,Low,1,High,1632,Gold,Bargain Hunter
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,,1,0.4081632653061224,,0.15999999999999992,,,1,High,546,Bronze,Bargain Hunter
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,,1,0.8571428571428571,,0.08000000000000007,,,1,High,3655,Platinum,VIP Loyalist
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,3.0,1,0.04081632653061225,0.5,0.8,0.37632653061224497,Medium,1,High,174,Bronze,Bargain Hunter
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,1.0,1,0.4081632653061224,0.0,0.08000000000000007,0.17926530612244898,Low,1,High,1785,Gold,Bargain Hunter
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,3.0,1,0.6326530612244897,0.5,0.6800000000000002,0.5890612244897959,High,1,High,1376,Gold,Bargain Hunter
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,4.0,1,0.7142857142857142,0.75,0.32000000000000006,0.6497142857142858,Very High,1,High,1908,Gold,Bargain Hunter
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,4.0,1,1.0,0.75,0.8800000000000001,0.8760000000000001,Very High,1,High,4550,Platinum,VIP Loyalist
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,,1,0.8571428571428571,,0.040000000000000036,,,1,High,4128,Platinum,VIP Loyalist
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,,1,0.4693877551020408,,0.52,,,1,High,1728,Gold,Bargain Hunter
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,,1,0.7142857142857142,,0.040000000000000036,,,1,High,3456,Platinum,VIP Loyalist
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,,1,0.4081632653061224,,0.6000000000000001,,,1,High,588,Bronze,Bargain Hunter
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,5.0,1,0.673469387755102,1.0,0.6399999999999999,0.7973877551020409,Very High,1,High,1360,Gold,Bargain Hunter
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,,1,0.836734693877551,,0.7600000000000002,,,1,High,1344,Gold,Bargain Hunter
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,,1,0.02040816326530612,,0.8,,,1,High,190,Bronze,Bargain Hunter
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,,1,0.9387755102040816,,0.4800000000000002,,,1,High,1927,Gold,Bargain Hunter
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,4.0,1,0.8775510204081631,0.75,0.4800000000000002,0.7470204081632654,Very High,1,High,2332,Platinum,VIP Loyalist
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,3.0,1,0.693877551020408,0.5,0.40000000000000013,0.5575510204081633,High,1,High,1645,Gold,Bargain Hunter
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,2.0,1,0.28571428571428564,0.25,0.44000000000000017,0.3022857142857143,Low,1,High,1245,Silver,Bargain Hunter
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,3.0,1,0.5714285714285714,0.5,0.15999999999999992,0.4605714285714286,Medium,1,High,1392,Gold,Bargain Hunter
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,,1,0.346938775510204,,0.8399999999999999,,,1,High,1782,Gold,Bargain Hunter
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,,1,0.24489795918367344,,0.7600000000000002,,,1,High,1131,Silver,Bargain Hunter
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,5.0,1,0.9183673469387754,1.0,0.8,0.9273469387755102,Very High,1,High,2852,Platinum,VIP Loyalist
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,5.0,1,0.5510204081632653,1.0,0.8399999999999999,0.7884081632653062,Very High,1,High,2128,Gold,Bargain Hunter
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,3.0,1,0.9591836734693877,0.5,0.52,0.6876734693877551,Very High,1,High,4800,Platinum,VIP Loyalist
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,,1,0.8571428571428571,,0.52,,,1,High,3139,Platinum,VIP Loyalist
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,1.0,1,0.7346938775510203,0.0,0.9199999999999999,0.47787755102040813,Medium,1,High,3404,Platinum,VIP Loyalist
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1.0,1,0.38775510204081626,0.0,0.040000000000000036,0.1631020408163265,Low,1,High,1340,Gold,Bargain Hunter
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,2.0,1,0.6530612244897959,0.25,0.4800000000000002,0.4572244897959184,Medium,1,High,1320,Gold,Bargain Hunter
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,4.0,1,0.6122448979591836,0.75,0.08000000000000007,0.5608979591836735,High,1,High,3038,Platinum,VIP Loyalist
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,,1,1.0,,0.8399999999999999,,,1,High,4250,Platinum,VIP Loyalist
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2.0,1,0.693877551020408,0.25,0.9199999999999999,0.5615510204081633,High,1,High,2345,Platinum,VIP Loyalist
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,,1,0.4285714285714285,,0.6000000000000001,,,1,High,1958,Gold,Bargain Hunter
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,3.0,1,0.0,0.5,0.7600000000000002,0.3520000000000001,Low,1,High,24,Bronze,Bargain Hunter
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,1.0,1,0.061224489795918366,0.0,0.44000000000000017,0.11248979591836739,Low,1,High,384,Bronze,Bargain Hunter
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,3.0,1,0.6122448979591836,0.5,0.4800000000000002,0.5408979591836736,High,1,High,1085,Silver,Bargain Hunter
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,4.0,1,0.9183673469387754,0.75,0.2400000000000002,0.7153469387755103,Very High,1,High,3082,Platinum,VIP Loyalist
